Source,Target,Weight,Type
bre_charette,bre_graal,5,undirected
bre_charette,bre_graalcont,1,undirected
bre_charette,bre_yvain,6,undirected
bre_charette,rom_eracle,1,undirected
bre_graal,bre_charette,5,undirected
bre_graal,bre_graalcont,1,undirected
bre_graal,bre_yvain,4,undirected
bre_graalcont,bre_charette,1,undirected
bre_graalcont,bre_graal,1,undirected
bre_graalcont,bre_graalcontun,6,undirected
bre_graalcont,fra_aspremont,1,undirected
bre_graalcont,fra_charroi,2,undirected
bre_graalcont,rom_eracle,3,undirected
bre_graalcontun,bre_graalcont,6,undirected
bre_graalcontun,bre_yvain,1,undirected
bre_graalcontun,fra_aspremont,2,undirected
bre_graalcontun,rom_thebes,1,undirected
bre_tristanber,bre_tristantho,2,undirected
bre_tristanber,fra_charroi,1,undirected
bre_tristanber,rom_eracle,2,undirected
bre_tristanber,rom_thebes,3,undirected
bre_tristantho,bre_tristanber,2,undirected
bre_tristantho,fra_aspremont,3,undirected
bre_tristantho,rom_eneas,1,undirected
bre_yvain,bre_charette,6,undirected
bre_yvain,bre_graal,4,undirected
bre_yvain,bre_graalcontun,1,undirected
bre_yvain,rom_eracle,2,undirected
fra_aliscans,fra_bertes,1,undirected
fra_aliscans,fra_charroi,3,undirected
fra_aliscans,fra_louis,4,undirected
fra_aliscans,fra_ogier,1,undirected
fra_aliscans,fra_saxons,1,undirected
fra_aliscans,rom_eneas,1,undirected
fra_aspremont,bre_graalcont,1,undirected
fra_aspremont,bre_graalcontun,2,undirected
fra_aspremont,bre_tristantho,3,undirected
fra_aspremont,fra_bertes,3,undirected
fra_aspremont,fra_charroi,5,undirected
fra_aspremont,fra_louis,1,undirected
fra_aspremont,rom_eneas,2,undirected
fra_aspremont,rom_pyramus,1,undirected
fra_aspremont,rom_thebes,3,undirected
fra_bertes,fra_aliscans,1,undirected
fra_bertes,fra_aspremont,3,undirected
fra_bertes,fra_charroi,4,undirected
fra_bertes,fra_huon,2,undirected
fra_bertes,fra_ogier,5,undirected
fra_bertes,rom_pyramus,2,undirected
fra_bertes,rom_thebes,1,undirected
fra_charroi,bre_graalcont,2,undirected
fra_charroi,bre_tristanber,1,undirected
fra_charroi,fra_aliscans,3,undirected
fra_charroi,fra_aspremont,5,undirected
fra_charroi,fra_bertes,4,undirected
fra_charroi,fra_huon,3,undirected
fra_charroi,fra_louis,6,undirected
fra_charroi,fra_ogier,2,undirected
fra_charroi,fra_saxons,2,undirected
fra_charroi,rom_pyramus,3,undirected
fra_huon,fra_bertes,2,undirected
fra_huon,fra_charroi,3,undirected
fra_huon,fra_louis,1,undirected
fra_louis,fra_aliscans,4,undirected
fra_louis,fra_aspremont,1,undirected
fra_louis,fra_charroi,6,undirected
fra_louis,fra_huon,1,undirected
fra_louis,fra_saxons,3,undirected
fra_louis,rom_alexandre,2,undirected
fra_ogier,fra_aliscans,1,undirected
fra_ogier,fra_bertes,5,undirected
fra_ogier,fra_charroi,2,undirected
fra_saxons,fra_aliscans,1,undirected
fra_saxons,fra_charroi,2,undirected
fra_saxons,fra_louis,3,undirected
rom_alexandre,fra_louis,2,undirected
rom_alexandre,rom_pyramus,1,undirected
rom_alexandre,rom_thebes,3,undirected
rom_eneas,bre_tristantho,1,undirected
rom_eneas,fra_aliscans,1,undirected
rom_eneas,fra_aspremont,2,undirected
rom_eneas,rom_thebes,6,undirected
rom_eracle,bre_charette,1,undirected
rom_eracle,bre_graalcont,3,undirected
rom_eracle,bre_tristanber,2,undirected
rom_eracle,bre_yvain,2,undirected
rom_pyramus,fra_aspremont,1,undirected
rom_pyramus,fra_bertes,2,undirected
rom_pyramus,fra_charroi,3,undirected
rom_pyramus,rom_alexandre,1,undirected
rom_thebes,bre_graalcontun,1,undirected
rom_thebes,bre_tristanber,3,undirected
rom_thebes,fra_aspremont,3,undirected
rom_thebes,fra_bertes,1,undirected
rom_thebes,rom_alexandre,3,undirected
rom_thebes,rom_eneas,6,undirected
